Codice Categoria/Nodo;Codice Categoria/Nodo Padre;Nome Categoria/Nodo Italiana;Nome Categoria/Nodo Inglese;Descrizione Categoria/Nodo Italiana;Descrizione Categoria/Nodo Inglese
16684;10624;CERNIERE IN ACCIAIO INOX EXTRACROME A FILO;STAINLESS STEEL MIRROR-POLISHED FLUSH HINGES;;
16746;3418;AQUAPAC SACCHI E CUSTODIE IMPERMEABILI;AQUAPAC WATERPROOF SACKS AND CASES;;
16756;3322;BATTELI GONFIABILI EUROVINIL;EUROVINIL INFLATABLE BOATS;;
16794;15220;SOFFIETTI MANICOTTI E TUBI ACQUA;BELLOWS SLEEVES AND WATER HOSES;;
16860;5597;STOVIGLIE E ARREDO MARINE BUSINESS;MARINE BUSINESS TABLEWARE AND DECOR;;
16861;16860;SERVIZIO DA TAVOLO NORTHWIND;NORTHWIND TABLEWARE;;
16864;16860;BICCHIERI E ACCESSORI PARTY;PARTY GLASSES AND ACCESSORIES;;
16868;16860;ARREDO CAMERA;ROOM DECOR;;
16869;16860;TAPPETINI;WELCOME MATS;;
19143;16860;ARREDO CAMERA EX SERIES;EX SERIES ROOM DECOR;;
17003;2865;BINOCOLI NIKON;NIKON BINOCULARS;;
17011;3826;SCOTTE E DRIZZE LIROS;LIROS SHEETS AND HALYARDS;;
17022;10231;CIME DA ORMEGGIO E ANCORAGGIO LIROS;LIROS DOCK AND ANCHOR LINES;;
17050;2551;LUCI E PLAFONIERE;CEILING LIGHTS;;
17113;3826;TRECCINE E BOBINETTE;BRAID LINE SPOOLS;;
17155;2273;CAVI ELETTRICI MARINI;MARINE ELECTRIC CABLES;;
17261;1726;POMPE AUTOADESCANTI A MEMBRANA;DIAPHRAGM SELF-PRIMING PUMPS;;
17344;2273;CONNETTORI PER CAVI ELETTRICI;ELECTRIC CABLE CONNECTORS;;
17368;2273;ACCESSORI E UTENSILI PER IMPIANTI ELETTRICI;ELECTRIC ACCESSORIES AND INSTALLATION TOOLS;;
17406;2047;BATTERIE;BATTERIES;;
17427;1950;SPIE E LAMPADINE;LIGHTS AND BULBS;;
17429;17427;SPIE;PILOT LIGHTS;;
17430;17427;LAMPADINE E BULBI;BULBS;;
17431;17427;LAMPADINE LED;LED BULBS;;
19510;19509;FUSIBILI IN VETRO;GLASS FUSES;;
19511;19509;FUSIBILI LAMELLARI;LAMELLAR FUSES;;
19737;2551;STARLIGHT LED LIGHTING;STARLIGHT LED LIGHTING;;
17575;16860;SERVIZIO DA TAVOLO BALI;BALI TABLEWARE;;
17584;16860;SERVIZIO DA TAVOLO REGATA;REGATA TABLEWARE;;
17654;2196;PANNELLI ELETTRICI YIS IP66;YIS IP66 SWITCH PANELS;;
17679;1611;RACCORDI OLEOIDRAULICI;HYDRAULIC FITTINGS;;
17680;1611;O-RINGS E TUBI OLEOIDRAULICI;HYDRAULIC O-RINGS AND TUBING;;
17773;4054;BANDIERE DI SEGNALAZIONE;WARNING FLAGS;;
17824;3065;ANTENNE GLOMEX GLOMEASY LINE;GLOMEX GLOMEASY LINE ANTENNAS;;
17844;13495;ECOSCANDAGLI GARMIN;GARMIN FISHFINDERS;;
17880;3418;SLAM END SERIES;SLAM FASHION END SERIES;;
17949;10231;TRECCE MULTIUSO;MULTIPURPOSE BRAIDS;;
17962;10231;TRECCE PRONTE ORMEGGIO E ANCORAGGIO CUSTOM LINE;MOORING AND ANCHORING CUSTOM LINE READY BRAIDS;;
18942;10046;GOLFARI E BITTE PER ORMEGGIO;EYEBOLTS AND MOORING BOLLARDS;;
18068;3418;HELLY HANSEN SCARPE BORSE CAPPELLI E GUANTI;HELLY HANSEN SHOES BAGS CAPS AND GLOVES;;
18029;3418;HELLY HANSEN SAILING TECH WEAR;HELLY HANSEN SAILING TECH WEAR;;
18033;3418;HELLY HANSEN SAILING MODA;HELLY HANSEN SAILING FASHION;;
18093;3643;BOZZELLI MASTER;MASTER BLOCKS;;
18217;1611;SCARICHI POZZETTO E PER SERVIZI;BATH AND DECK DRAINS;;
18262;14763;ALTOPARLANTI E WOOFER MARINI FUSION;FUSION MARINE SPEAKERS;;
18275;2887;STRUMENTAZIONE ECMS ALL BLACK;ECMS ALL BLACK GAUGES;;
18278;2887;STRUMENTAZIONE ECMS BLACK CHROME;ECMS BLACK CHROME GAUGES;;
18281;2887;STRUMENTAZIONE ECMS WHITE CHROME;ECMS WHITE CHROME GAUGES;;
18338;3159;SUB E FISHWATCHING;DIVING AND FISHWATCHING;;
18345;18338;SUB;DIVING;;
18346;18338;FISHWATCHING;FISHWATCHING;;
18379;3742;TENDISTRALLI VANGS E AVVOLGIFIOCCO;STAY ADJUSTERS VANGS AND FORESAIL FURLERS;;
18383;3826;SACCHE PORTACIME NAVISHELL;NAVISHELL HALYARD BAGS;;
18404;3826;TRECCE PER USI VARI;MULTIPURPOSE BRAID LINES;;
18415;3871;RIPARAZIONI VELE;SAIL REPAIRS;;
18449;5956;RETI PORTAOGGETTI E RETI PER BATTAGLIOLA;STORAGE NETS AND LIFELINE NETTING;;
18490;4221;FILTRI OLIO/CARBURANTE OEM;OEM OIL/FUEL FILTERS ;;
18491;18490;FILTRI OLIO/GASOLIO SACS PER MOTORI YANMAR;SACS OIL/DIESEL FILTERS FOR YANMAR ENGINES;;
18508;18490;FILTRI OLIO/BENZINA SACS PER MERCURY/MERCRUISER;SACS OIL/GASOLINE FILTERS FOR MERCURY/MERCRUISER ENGINES;;
18503;18490;FILTRI OLIO/GASOLIO SACS PER MOTORI VOLVO PENTA;SACS OIL/DIESEL FILTERS FOR VOLVO PENTA ENGINES;;
18517;4222;BOCCHETTONI E RACCORDI DI SCARICO;EXHAUST PIPES AND FITTINGS;;
18552;5068;TIMONI PER SCAFI DA 5 A 12 METRI;RUDDERS FOR BOATS FROM 5 TO 12 METERS;;
18569;5956;SACCHE PORTAOGGETTI NAVISHELL;NAVISHELL HOLDERS AND BAGS;;
18575;5956;PORTA BICCHIERI E PORTA BOTTIGLIE;GLASSES AND BOTTLES HOLDERS;;
18591;16860;POSACENERE;ASHTRAYS;;
18689;2887;STRUMENTAZIONE UFLEX;UFLEX GAUGES;;
18694;1611;RACCORDERIA IN PP FILETTATA TECH HIDRAULICO;PP THREADED TECH HIDRAULICO PIPE FITTINGS;;
18789;3065;TRANSPONDER AIS;AIS TRANSPONDERS;;
18832;3263;TAVOLE SUP;BODYBOARDS WAKEBOARDS AND SUP;;
18860;2791;BUSSOLE A MONTAGGIO SOFFITTO;CEILING MOUNT COMPASSES ;;
18888;3418;HELLY HANSEN WORKWEAR;HELLY HANSEN WORKWEAR;;
19124;3160;CINTURE DI SALVATAGGIO AUTOGONFIABILI HELLY HANSEN;HELLY HANSEN INFLATABLE LIFEJACKETS;;
18960;2;DISTRIBUZIONI;DISTRIBUTION;Categoria_SPX;
18982;18960;POMPE AUTOCLAVI E POMPE LAVAGGIO COPERTA;WATER PRESSURE SYSTEMS AND WASH DOWN PUMPS;;
18983;18982;POMPE AUTOCLAVI AQUA JET;AQUA JET WATER PRESSURE SYSTEMS;;
18987;18982;POMPE LAVAGGIO COPERTA AQUA JET WASH DOWN;AQUA JET WASH DOWN PUMP SYSTEMS;;
18995;18982;FILTRI E RACCORDI;STRAINERS AND CONNECTORS;;
19000;18982;ACCESSORI PER POMPE AUTOCLAVI E LAVAGGIO COPERTA;WATER PRESSURE SYSTEMS AND WASH DOWN PUMPS ACCESSORIES;;
19006;18960;POMPE DI SENTINA;BILGE PUMPS;;
19007;19006;POMPE DI SENTINA SOMMERGIBILI HD;HD SUBMERSIBLE BILGE PUMPS;;
19008;19006;POMPE DI SENTINA SOMMERGIBILI CARTRIDGE;SUBMERSIBLE CARTRIDGE BILGE PUMPS;;
19009;19006;POMPE DI SENTINA MANUALI;MANUAL BILGE PUMPS;;
19010;19006;INTERRUTTORI PER POMPE DI SENTINA;BILGE PUMP SWITCHES;;
19022;19006;ACCESSORI E RICAMBI PER POMPE DI SENTINA;BILGE PUMPS ACCESSORIES AND SPARE PARTS;;
19036;18960;POMPE E ACCESSORI PER VASCHE DEL PESCATO;FISHING LIVEWELL PUMPS AND ACCESSORIES;;
19037;19036;POMPE DI RICIRCOLO;CIRCULATION  PUMPS;;
19042;19036;KIT DI OSSIGENAZIONE PER VASCHE DEL PESCATO;FISHING LIVEWELL PUMPS AND ACCESSORIES;;
19046;18960;POMPE AUTOADESCANTI 12/24V (DC) CON GIRANTE FLESSIBILE (FIP);FLEXIBLE IMPELLER PUMPS (FIP) DC 12/24V;;
19047;19046;POMPE CON GIRANTE FLESSIBILE 12/24V DC;DC DRIVEN FLEXIBLE IMPELLER PUMPS 12/24V;;
19052;19046;RICAMBI E ACCESSORI PER POMPE FIP;FIP PUMPS ACCESSORIES AND SPARE PARTS;;
19057;18960;POMPE AUTOADESCANTI 400V TRIFASE CON GIRANTE FLESSIBILE (FIP);FLEXIBLE IMPELLER PUMPS (FIP) AC 400V;;
19058;19057;POMPE CON GIRANTE FLESSIBILE (FIP) AC;FLEXIBLE IMPELLER PUMPS (FIP) AC;;
19060;18960;POMPE DI RICIRCOLO;CIRCULATION PUMPS;;
19061;19060;POMPE DI RICIRCOLO A CORRENTE CONTINUA (DC);DC DRIVEN CIRCULATION PUMPS;;
19068;18960;POMPE PER ACQUE NERE E GRIGIE - TOILET WC NAUTICI;WASTE WATER HANDLING AND MARINE TOILETS;;
19069;19068;POMPE ACQUE NERE;WASTE WATER PUMPS SOLUTIONS;;
19077;19068;TOILET WC NAUTICI;MARINE TOILETS;;
19082;19068;ACCESSORI GESTIONE ACQUE NERE E TOILET NAUTICI;WASTE WATER HANDLING AND MARINE TOILETS ACCESSORIES;;
19094;18960;ASPIRATORI RADIALI AIRV E SCALDA ACQUA DI BORDO;RADIAL BLOWERS AND MARINE WATER HEATERS;;
19095;19094;ASPIRATORI RADIALI EXTRA HEAVY DUTY;EXTRA HEAVY DUTY RADIAL BLOWERS;;
19096;19094;SCALDA ACQUA DI BORDO;MARINE WATER HEATERS;;
19101;18960;POMPE CON GIRANTE FLESSIBILE E GIRANTI;FLEXIBLE IMPELLER PUMPS AND IMPELLERS;;
19102;19101;POMPE A GIRANTE HEAVY DUTY;HEAVY DUTY IMPELLER PUMPS;;
19103;19101;POMPE A GIRANTE EXTRA HEAVY DUTY;EXTRA HEAVY DUTY IMPELLER PUMPS;;
19104;19101;POMPE A FRIZIONE;CLUTCH PUMPS;;
19105;19101;ACCESSORI PER POMPE A GIRANTE E GIRANTI;IMPELLER PUMPS AND IMPELLERS ACCESSORIES;;
19106;19101;GIRANTI ORIGINALI SPX FLOW JOHNSON PUMP;SPX FLOW JOHNSON PUMP ORIGINAL IMPELLERS;;
19181;16860;SERVIZIO DA TAVOLO HARMONY;HARMONY TABLEWARE;SERVIZIO DA TAVOLO HARMONY NEW;HARMONY TABLEWARE NEW
19200;16860;SERVIZIO DA TAVOLO WELCOME ON BOARD;WELCOME ON BOARD TABLEWARE;SERVIZIO DA TAVOLA WELCOME ON BOARD;WELCOME ON BOARD TABLEWARE
19246;5957;BICCHIERI MAGNETICI SILWY;SILWY MAGNETIC GLASSES;BICCHIERI MAGNETICI SILWY;SILWY MAGNETIC DRINKWARE
19367;14636;KIT ANODI TECNOSEAL;TECNOSEAL ANODES KIT;;
19412;3418;HELLY HANSEN END SERIES;HELLY HANSEN END SERIES;;
19440;1611;SCARICHI E PRESE A MARE;DRAIN PLUGS AND INTAKE STRAINERS;;
19727;19725;VITI METRICHE DADI E RONDELLE IN BLISTER;SCREWS DICES AND WASHERS IN BLISTER PACKS;;
19726;19725;VITI PER LEGNO E AUTOFILETTANTI IN BLISTER;SCREWS IN BLISTER PACKS;;
19503;14448;PROLUNGHE E CAVI BANCHINA;SHORE EXTENSION AND OTHER CABLES;;
19584;3160;ACCESSORI PER ZATTERE DI SALVATAGGIO;LIFERAFTS ACCESSORIES;;
19618;3514;GRILLI IN ACCIAIO INOX;STAINLESS STEEL SHACKLES;;
19629;3514;MOSCHETTONI IN ACCIAIO INOX AISI 316;316 STAINLESS STEEL SNAP HOOKS;;
19657;3946;COPERTURE E TASCHE PER WINCH E MANOVELLE;WINCH AND HANDLES COVERS AND POCKETS;;
19664;2551;LUCI DI UTILITA' E CORTESIA IMPERMEABILI;WATERTIGHT UTILIY AND COURTESY LIGHTS;;
19677;2551;LUCI DI CORTESIA IMPERMEABILI STARLIGHT;STARLIGHT WATERTIGHT COURTESY LIGHTS;;
19699;18490;CARTUCCE FILTRI BENZINA;GASOLINE FILTER CARTRIDGES;;
19715;19713;DISPOSITIVI DI PROTEZIONE INDIVIDUALE ;PERSONAL PROTECTION EQUIPMENT;;
19755;3579;PULPITI E CANDELIERI;AMBOS AND STANCHIONS;;
19764;2469;FARETTI SUB E LUCI SOTTOPLANCIA;UNDERWATER SPOTLIGHTS AND UNDER PLATFORM LIGHTS;;
19833;16860;CUSCINI NAVISHELL;NAVISHELL CUSHIONS;;
19862;3159;BOE DA SEGNALAZIONE PER REGATA;REGATTA MARKING BUOYS;;
19863;19862;BOE DA REGATA;REGATTA BUOYS;;
