Codice Prodotto;Descrizione Prodotto Breve Italiana;Codice Categoria;Um;Peso;Disponibilita' maggiore di 0;Obsoleto;Novita';In Offerta;Tipo Offerta;Listino Base;Netto Cliente;Unita' Misura Street Price;Street Price Ivato;Nome Immagine;Link Caratteristiche;Ultimo Aggiornamento
3143014150;LIROS HERKULES VISION 14MM RED 150M ;17017;CF;21,75;No;No;No;No;Nessuna;810,00;405,00;MT;6,40;3143006200;http://www.motomarine.it/catalogo/xsia/3143014150;2021-02-12
3142104250;LIROS HERKULES COLOUR 4MM RED 250M ;17016;CF;2,75;No;No;No;No;Nessuna;189,00;94,50;MT;0,90;3142104250;http://www.motomarine.it/catalogo/xsia/3142104250;2021-02-12
3142204250;LIROS HERKULES COLOUR 4MM YELLOW 250M ;17016;CF;2,75;No;No;No;No;Nessuna;189,00;94,50;MT;0,90;3142104250;http://www.motomarine.it/catalogo/xsia/3142204250;2021-02-12
3142304250;LIROS HERKULES COLOUR 4MM BLUE NAVY 250M ;17016;CF;2,75;No;No;No;No;Nessuna;189,00;94,50;MT;0,90;3142104250;http://www.motomarine.it/catalogo/xsia/3142304250;2021-02-12
3142105250;LIROS HERKULES COLOUR 5MM RED 250M ;17016;CF;4,25;No;No;No;No;Nessuna;267,50;133,75;MT;1,30;3142104250;http://www.motomarine.it/catalogo/xsia/3142105250;2021-02-12
3142205250;LIROS HERKULES COLOUR 5MM YELLOW 250M ;17016;CF;4,25;No;No;No;No;Nessuna;267,50;133,75;MT;1,30;3142104250;http://www.motomarine.it/catalogo/xsia/3142205250;2021-02-12
3142305250;LIROS HERKULES COLOUR 5MM BLUE NAVY 250M ;17016;CF;4,25;No;No;No;No;Nessuna;267,50;133,75;MT;1,30;3142104250;http://www.motomarine.it/catalogo/xsia/3142305250;2021-02-12
3142106200;LIROS HERKULES COLOUR 6MM RED 200M ;17016;CF;6,00;No;No;No;No;Nessuna;284,00;142,00;MT;1,70;3142104250;http://www.motomarine.it/catalogo/xsia/3142106200;2021-02-12
3142206200;LIROS HERKULES COLOUR 6MM YELLOW 200M ;17016;CF;6,00;No;No;No;No;Nessuna;284,00;142,00;MT;1,70;3142104250;http://www.motomarine.it/catalogo/xsia/3142206200;2021-02-12
3142306200;LIROS HERKULES COLOUR 6MM BLUE NAVY 200M ;17016;CF;6,00;Si;No;No;No;Nessuna;284,00;142,00;MT;1,70;3142104250;http://www.motomarine.it/catalogo/xsia/3142306200;2021-02-12
3142108200;LIROS HERKULES COLOUR 8MM RED 200M ;17016;CF;9,00;Si;No;No;No;Nessuna;412,00;206,00;MT;2,50;3142104250;http://www.motomarine.it/catalogo/xsia/3142108200;2021-02-12
3142208200;LIROS HERKULES COLOUR 8MM YELLOW 200M ;17016;CF;9,00;No;No;No;No;Nessuna;412,00;206,00;MT;2,50;3142104250;http://www.motomarine.it/catalogo/xsia/3142208200;2021-02-12
3142308200;LIROS HERKULES COLOUR 8MM BLUE NAVY 200M ;17016;CF;9,00;No;No;No;No;Nessuna;412,00;206,00;MT;2,50;3142104250;http://www.motomarine.it/catalogo/xsia/3142308200;2021-02-12
3142110200;LIROS HERKULES COLOUR 10MM RED 200M ;17016;CF;14,40;Si;No;No;No;Nessuna;614,00;307,00;MT;3,70;3142104250;http://www.motomarine.it/catalogo/xsia/3142110200;2021-02-12
3142210200;LIROS HERKULES COLOUR 10MM YELLOW 200M ;17016;CF;14,40;Si;No;No;No;Nessuna;614,00;307,00;MT;3,70;3142104250;http://www.motomarine.it/catalogo/xsia/3142210200;2021-02-12
3142310200;LIROS HERKULES COLOUR 10MM BLU NAVY 200M ;17016;CF;14,40;No;No;No;No;Nessuna;614,00;307,00;MT;3,70;3142104250;http://www.motomarine.it/catalogo/xsia/3142310200;2021-02-12
